Benchmark,Heuristic,Throughput,Error
intruder,baseline,1373356.888149,0.564750
intruder,dual,2131530.952801,1.891845
intruder,h0,2255431.240683,1.299422
intruder,h1,2266981.770410,0.139882
vacation,baseline,605503.077925,0.041460
vacation,dual,611146.465238,0.045062
vacation,h0,608074.298822,0.217034
vacation,h1,594846.730384,0.046483
genome,baseline,1184878.746393,0.615236
genome,dual,1214822.698008,0.539712
genome,h0,1091339.905062,0.847563
genome,h1,1106514.687241,0.158677
ssca2,baseline,3381521.760963,0.172564
ssca2,dual,4092937.431813,0.378980
ssca2,h0,4222753.212802,0.724471
ssca2,h1,4192286.076756,0.171705
